variant,data_source,n_focal,img_w,img_h,n_subapertures,per_focal_ms,median_ms,min_ms,max_ms,cycles_per_focal,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs
real_n1,real,1,1024,512,289,2048.407172,2048.407172,2048.407172,2048.407172,4955561153,4955561153,4955561153,4955561153,9451.982790,0.255949,0.221908
real_n5,real,5,1024,512,289,2070.109975,2093.273316,2005.512608,2112.025346,5008073430,5064110893,4851797503,5109476380,9552.142010,0.253266,0.219581
real_n10,real,10,1024,512,289,2051.154486,2051.926044,2043.594297,2062.124533,4962210416,4964076991,4943920596,4988749461,9464.665253,0.255606,0.221611
gen_128_1,generated 128*128,1,128,128,289,53.540362,53.540362,53.540362,53.540362,129527216,129527216,129527216,129527216,7905.713867,0.306012,0.265313
gen_128_5,generated 128*128,5,128,128,289,57.076627,58.599028,52.658870,62.031390,138082661,141765731,127395001,150069475,8427.896790,0.287053,0.248875
gen_128_10,generated 128*128,10,128,128,289,58.296230,58.693995,53.619186,63.244913,141033122,141995415,129718187,153005220,8607.978638,0.281047,0.243668
gen_256_1,generated 256*256,1,256,256,289,233.296885,233.296885,233.296885,233.296885,564404238,564404238,564404238,564404238,8612.125214,0.280912,0.243551
gen_256_5,generated 256*256,5,256,256,289,252.145465,245.895404,232.972854,290.016546,610004958,594884446,563621463,701624876,9307.936981,0.259913,0.225345
gen_256_10,generated 256*256,10,256,256,289,243.098532,243.735542,232.568083,252.641798,588118365,589659456,562642479,611205997,8973.974075,0.269586,0.233731
gen_512_1,generated 512*512,1,512,512,289,982.066347,982.066347,982.066347,982.066347,2375872209,2375872209,2375872209,2375872209,9063.233219,0.266931,0.231429
gen_512_5,generated 512*512,5,512,512,289,1020.685055,1005.883902,981.420918,1124.467717,2469312753,2433504768,2374322204,2720391036,9419.680607,0.256831,0.222673
gen_512_10,generated 512*512,10,512,512,289,1000.891581,1001.798550,980.012065,1019.022402,2421424100,2423618300,2370910973,2465287398,9236.999893,0.261910,0.227076
gen_1024_1,generated 1024*1024,1,1024,1024,289,4026.777720,4026.777720,4026.777720,4026.777720,9741805503,9741805503,9741805503,9741805503,9290.509704,0.260401,0.225767
gen_1024_5,generated 1024*1024,5,1024,1024,289,4218.817610,4062.515170,4018.920953,4904.398899,10206373730,9828239081,9722773779,11864966140,9733.556490,0.248547,0.215491
gen_1024_10,generated 1024*1024,10,1024,1024,289,4061.684193,4056.415345,4022.885137,4100.486656,9826267765,9813521055,9732402784,9920140989,9371.059194,0.258163,0.223827
gen_2048_1,generated 2048*2048,1,2048,2048,289,16331.473192,16331.473192,16331.473192,16331.473192,39510588641,39510588641,39510588641,39510588641,9420.058403,0.256823,0.222666
gen_2048_5,generated 2048*2048,5,2048,2048,289,17129.893644,17041.206194,16328.617776,18730.309125,41441712577,41227154337,39503215765,45313538039,9880.474228,0.244853,0.212287
gen_2048_10,generated 2048*2048,10,2048,2048,289,17053.918958,16837.995679,16297.785819,17726.389697,41257811247,40735437363,39428530927,42884690729,9836.628734,0.245944,0.213233
gen_4096_1,generated 4096*4096,1,4096,4096,289,204012.206223,204012.206223,204012.206223,204012.206223,493568634969,493568634969,493568634969,493568634969,29418.983160,0.082236,0.071299
gen_4096_5,generated 4096*4096,5,4096,4096,289,215644.946794,216724.769000,199930.696315,225170.493324,521719353227,524331814826,483701172332,544764929060,31096.896722,0.077800,0.067453
